Colonna1	Colonna2
Salmonella enterica subsp. enterica serovar Enteritidis str. EC20120685	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. EC20120686	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. EC20120687	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. EC20120697	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. EC20120722	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. EC20120734	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. EC20120738	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. EC20120765	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. EC20120773	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. EC20120774	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. EC20120775	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. EC20120776	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. EC20120916	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. EC20120917	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. EC20120918	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. EC20120925	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. EC20120927	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. EC20120929	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. EC20120963	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. EC20120968	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. EC20120969	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. EC20120970	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. EC20120994	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. EC20121004	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. EC20121175	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. EC20121176	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. EC20121177	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. EC20121178	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. EC20121179	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. EC20121180	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. EC20121541	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. EC20121542	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. EC20121671	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. EC20121672	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. EC20121689	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. EC20121744	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. EC20121746	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. EC20121747	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. EC20121748	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. EC20121750	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. EC20121751	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. EC20121753	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. EC20121765	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. EC20121812	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. EC20121825	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. EC20121826	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. EC20121969	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. EC20121970	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. EC20121976	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. EC20121986	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. EC20121989	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. EC20121990	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. EC20122022	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. EC20122026	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. EC20122031	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. EC20122033	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. EC20122045	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. EC20130345	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. EC20130346	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. EC20130347	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. EC20130348	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. P125109	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. RM2968	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. SA19930684	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. SA19940857	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. SA19942384	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. SA19943269	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. SA19960848	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. SA19961622	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. SA19970510	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. SA19970769	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. SA19971331	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. SA19980677	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. SA19981522	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. SA19981857	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. SA19982831	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. SA19983126	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. SA19992322	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. SA19994216	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. SA20082034	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. SA20083456	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. SA20083636	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. SA20084384	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. SA20084644	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. SA20084824	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. SA20085285	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. SA20090419	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. SA20090435	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. SA20090877	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. SA20091739	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. SA20092320	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. SA20093266	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. SA20093421	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. SA20093430	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. SA20093538	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. SA20093543	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. SA20093784	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. SA20093788	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. SA20093950	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. SA20093977	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. SA20094079	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. SA20094177	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. SA20094301	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. SA20094350	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. SA20094352	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. SA20094383	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. SA20094389	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. SA20094521	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. SA20094642	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. SA20094682	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. SA20094803	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. SA20095309	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. SA20095440	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. SA20100239	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. SA20100349	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. SA20121703	no rank
Salmonella enterica subsp. enterica serovar Enteritidis str. SA20123395	no rank
Salmonella enterica subsp. enterica serovar Fresno	no rank
Salmonella enterica subsp. enterica serovar Gallinarum/pullorum	no rank
Salmonella enterica subsp. enterica serovar Gallinarum/pullorum str. CDC1983-67	no rank
Salmonella enterica subsp. enterica serovar Gallinarum/pullorum str. RKS5078	no rank
Salmonella enterica subsp. enterica serovar Gallinarum	no rank
Salmonella enterica subsp. enterica serovar Gallinarum str. 287/91	no rank
Salmonella enterica subsp. enterica serovar Gallinarum str. 9184	no rank
Salmonella enterica subsp. enterica serovar Gaminara	no rank
Salmonella enterica subsp. enterica serovar Gaminara str. SA20063285	no rank
Salmonella enterica subsp. enterica serovar Give	no rank
Salmonella enterica subsp. enterica serovar Hayindogo	no rank
Salmonella enterica subsp. enterica serovar Heidelberg	no rank
Salmonella enterica subsp. enterica serovar Heidelberg str. 41578	no rank
Salmonella enterica subsp. enterica serovar Heidelberg str. B182	no rank
Salmonella enterica subsp. enterica serovar Heidelberg str. CFSAN002064	no rank
Salmonella enterica subsp. enterica serovar Heidelberg str. CFSAN002069	no rank
Salmonella enterica subsp. enterica serovar Heidelberg str. SARA35	no rank
Salmonella enterica subsp. enterica serovar Heidelberg str. SL476	no rank
Salmonella enterica subsp. enterica serovar Hillingdon	no rank
Salmonella enterica subsp. enterica serovar Hillingdon str. N1529-D3	no rank
Salmonella enterica subsp. enterica serovar Hvittingfoss	no rank
Salmonella enterica subsp. enterica serovar Hvittingfoss str. SA20014981	no rank
Salmonella enterica subsp. enterica serovar India	no rank
Salmonella enterica subsp. enterica serovar India str. SA20085604	no rank
Salmonella enterica subsp. enterica serovar Indiana	no rank
Salmonella enterica subsp. enterica serovar Infantis	no rank
Salmonella enterica subsp. enterica serovar Infantis str. 335-3	no rank
Salmonella enterica subsp. enterica serovar Infantis str. CVM N32760	no rank
Salmonella enterica subsp. enterica serovar Infantis str. CVM N38848	no rank
Salmonella enterica subsp. enterica serovar Inverness	no rank
Salmonella enterica subsp. enterica serovar Inverness str. ATCC 10720	no rank
Salmonella enterica subsp. enterica serovar Javiana	no rank
Salmonella enterica subsp. enterica serovar Javiana str. CFSAN001992	no rank
Salmonella enterica subsp. enterica serovar Johannesburg	no rank
Salmonella enterica subsp. enterica serovar Johannesburg str. ST203	no rank
Salmonella enterica subsp. enterica serovar Kentucky	no rank
Salmonella enterica subsp. enterica serovar Kentucky str. CVM29188	no rank
Salmonella enterica subsp. enterica serovar Kentucky str. SA20030505	no rank
Salmonella enterica subsp. enterica serovar Koessen	no rank
Salmonella enterica subsp. enterica serovar Koessen str. S-1501	no rank
Salmonella enterica subsp. enterica serovar Krefeld	no rank
Salmonella enterica subsp. enterica serovar Krefeld str. SA20030536	no rank
Salmonella enterica subsp. enterica serovar Macclesfield	no rank
Salmonella enterica subsp. enterica serovar Macclesfield str. S-1643	no rank
Salmonella enterica subsp. enterica serovar Manchester	no rank
Salmonella enterica subsp. enterica serovar Manchester str. ST278	no rank
Salmonella enterica subsp. enterica serovar Manhattan	no rank
Salmonella enterica subsp. enterica serovar Mbandaka	no rank
Salmonella enterica subsp. enterica serovar Mbandaka str. ATCC 51958	no rank
Salmonella enterica subsp. enterica serovar Milwaukee	no rank
Salmonella enterica subsp. enterica serovar Milwaukee str. SA19950795	no rank
Salmonella enterica subsp. enterica serovar Minnesota	no rank
Salmonella enterica subsp. enterica serovar Minnesota str. ATCC 49284	no rank
Salmonella enterica subsp. enterica serovar Montevideo	no rank
Salmonella enterica subsp. enterica serovar Montevideo str. 507440-20	no rank
Salmonella enterica subsp. enterica serovar Montevideo str. 531954	no rank
Salmonella enterica subsp. enterica serovar Montevideo str. CDC 07-0954	no rank
Salmonella enterica subsp. enterica serovar Montevideo str. CDC 08-1942	no rank
Salmonella enterica subsp. enterica serovar Montevideo str. CDC 2009K-0792	no rank
Salmonella enterica subsp. enterica serovar Montevideo str. CDC 2010K-0257	no rank
Salmonella enterica subsp. enterica serovar Montevideo str. CDC 2011K-1674	no rank
Salmonella enterica subsp. enterica serovar Montevideo str. CDC 2012K-1544	no rank
Salmonella enterica subsp. enterica serovar Montevideo str. CDC 2013K-0218	no rank
Salmonella enterica subsp. enterica serovar Montevideo str. CDC 86-0391	no rank
Salmonella enterica subsp. enterica serovar Montevideo str. USDA-ARS-USMARC-1900	no rank
Salmonella enterica subsp. enterica serovar Montevideo str. USDA-ARS-USMARC-1901	no rank
Salmonella enterica subsp. enterica serovar Montevideo str. USDA-ARS-USMARC-1903	no rank
Salmonella enterica subsp. enterica serovar Montevideo str. USDA-ARS-USMARC-1904	no rank
Salmonella enterica subsp. enterica serovar Montevideo str. USDA-ARS-USMARC-1912	no rank
Salmonella enterica subsp. enterica serovar Moscow	no rank
Salmonella enterica subsp. enterica serovar Moscow str. S-1843	no rank
Salmonella enterica subsp. enterica serovar Muenster	no rank
Salmonella enterica subsp. enterica serovar Muenster str. 0315	no rank
Salmonella enterica subsp. enterica serovar Muenster str. 420	no rank
Salmonella enterica subsp. enterica serovar Napoli	no rank
Salmonella enterica subsp. enterica serovar Newport	no rank
Salmonella enterica subsp. enterica serovar Newport str. CDC 2010K-2159	no rank
Salmonella enterica subsp. enterica serovar Newport str. CVM 21538	no rank
Salmonella enterica subsp. enterica serovar Newport str. CVM 21550	no rank
Salmonella enterica subsp. enterica serovar Newport str. CVM 21554	no rank
Salmonella enterica subsp. enterica serovar Newport str. CVM 22425	no rank
Salmonella enterica subsp. enterica serovar Newport str. CVM 22462	no rank
Salmonella enterica subsp. enterica serovar Newport str. CVM 22513	no rank
Salmonella enterica subsp. enterica serovar Newport str. CVM N1543	no rank
Salmonella enterica subsp. enterica serovar Newport str. CVM N18486	no rank
Salmonella enterica subsp. enterica serovar Newport str. Levine 15	no rank
Salmonella enterica subsp. enterica serovar Newport str. Levine 1	no rank
Salmonella enterica subsp. enterica serovar Newport str. SL254	no rank
Salmonella enterica subsp. enterica serovar Newport str. USDA-ARS-USMARC-1927	no rank
Salmonella enterica subsp. enterica serovar Newport str. USMARC-S3124.1	no rank
Salmonella enterica subsp. enterica serovar Newport str. WA_14882	no rank
Salmonella enterica subsp. enterica serovar Nitra	no rank
Salmonella enterica subsp. enterica serovar Nottingham	no rank
Salmonella enterica subsp. enterica serovar Onderstepoort	no rank
Salmonella enterica subsp. enterica serovar Onderstepoort str. SA20060086	no rank
Salmonella enterica subsp. enterica serovar Oranienburg	no rank
Salmonella enterica subsp. enterica serovar Oranienburg str. 0250	no rank
Salmonella enterica subsp. enterica serovar Ouakam	no rank
Salmonella enterica subsp. enterica serovar Ouakam str. SA20034636	no rank
Salmonella enterica subsp. enterica serovar Panama	no rank
Salmonella enterica subsp. enterica serovar Panama str. ATCC 7378	no rank
Salmonella enterica subsp. enterica serovar Paratyphi A	no rank
Salmonella enterica subsp. enterica serovar Paratyphi A str. AKU_12601	no rank
Salmonella enterica subsp. enterica serovar Paratyphi A str. ATCC 11511	no rank
Salmonella enterica subsp. enterica serovar Paratyphi A str. ATCC 9150	no rank
